
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
   z_sigma[121]     -0.30      0.94     -0.25     -2.00      1.14   2064.81      1.00
   z_sigma[122]      0.02      1.02      0.04     -1.68      1.64   2156.36      1.00
   z_sigma[123]     -0.19      1.04     -0.17     -1.96      1.40   2711.65      1.00
   z_sigma[124]      0.06      0.98      0.05     -1.81      1.39   1766.15      1.00
   z_sigma[125]      0.03      0.96      0.02     -1.49      1.65   2279.28      1.00
   z_sigma[126]     -0.17      0.96     -0.17     -1.74      1.40   2571.39      1.00
   z_sigma[127]      0.04      0.94      0.01     -1.48      1.60   1957.57      1.00
   z_sigma[128]     -0.13      0.98     -0.11     -1.77      1.44   1902.33      1.00
   z_sigma[129]     -0.01      0.98     -0.01     -1.46      1.67   2391.79      1.00
   z_sigma[130]     -0.13      0.98     -0.13     -1.69      1.43   2271.08      1.00
   z_sigma[131]     -0.05      0.96     -0.05     -1.63      1.46   2200.42      1.00
   z_sigma[132]      0.07      0.97      0.03     -1.44      1.69   1964.91      1.00
   z_sigma[133]      0.13      0.97      0.08     -1.30      1.90   2444.15      1.00
   z_sigma[134]      0.01      0.97      0.01     -1.63      1.51   2093.45      1.00
